Movie Report
------------

Frame #    Frame Bytes    Total Bytes    Page
  184             2          14917          184
  185             2          14919          185
  186             2          14921          186
  187             2          14923          187
  188             2          14925          188
  189             2          14927          189
  190             2          14929          190
  191            26          14955          191
  192            90          15045          192
  193            86          15131          193
  194            86          15217          194
  195           362          15579          195
  196            22          15601          196
  197            22          15623          197
  198            22          15645          198
  199            22          15667          199
  200            17          15684          200
  201           721          16405          201
  202            37          16442          202
  203            37          16479          203
  204           497          16976          204
  205            57          17033          205
  206            51          17084          206
  207          6807          23891          207
  208            57          23948          208
  209            52          24000          209
  210           584          24584          210
  211            71          24655          211
  212            66          24721          212
  213            52          24773          213
  214          1686          26459          214
  215            66          26525          215
  216            51          26576          216
  217           441          27017          217
  218            70          27087          218
  219          1084          28171          219
  220            71          28242          220
  221            71          28313          221
  222           141          28454          222
  223           729          29183          223
  224           155          29338          224
  225           154          29492          225
  226           140          29632          226
  227           140          29772          227
  228           135          29907          228
  229           999          30906          229
  230           139          31045          230
  231            61          31106          231
  232            50          31156          232
  233            36          31192          233
  234            31          31223          234
  235            16          31239          235
  236            16          31255          236
  237            16          31271          237
  238            16          31287          238
  239            16          31303          239
  240            16          31319          240
  241             2          31321          241
  242             2          31323          242
  243            50          31373          243
  244            43          31416          244
  245            43          31459          245
  246            43          31502          246
  247            43          31545          247
  248            43          31588          248
  249            44          31632          249
  250            44          31676          250
  251            44          31720          251
  252            44          31764          252
  253            44          31808          253
  254            44          31852          254
  255            44          31896          255
  256            34          31930          256
  257            32          31962          257
  258            32          31994          258
  259            32          32026          259
  260            32          32058          260
  261            32          32090          261
  262             2          32092          262
  263             2          32094          263
  264             2          32096          264
  265             2          32098          265
  266             2          32100          266
  267             2          32102          267
  268             2          32104          268
  269             2          32106          269
  270             2          32108          270
  271             2          32110          271
  272             2          32112          272
  273             2          32114          273
  274             2          32116          274
  275             2          32118          275
  276             2          32120          276
  277             2          32122          277
  278             2          32124          278
  279             2          32126          279
  280             2          32128          280
  281             2          32130          281
  282             2          32132          282
  283             2          32134          283
  284             2          32136          284
  285             2          32138          285
  286             2          32140          286
  287             2          32142          287
  288             2          32144          288
  289             2          32146          289
  290             2          32148          290
  291             2          32150          291
  292             2          32152          292
  293             2          32154          293
  294             2          32156          294
  295             2          32158          295
  296             2          32160          296
  297             2          32162          297
  298             2          32164          298
  299             2          32166          299
  300            22          32188          300

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Scene 1                           0             0

Symbol                     Shape Bytes    Text Bytes
-----------------------    -----------    ----------
skip level                      929             0
cafea                           857             0
cuptor                          567             0
ventilator                     1011             0
aer                             368             0
video                           511             0
Tween 2                           0             0
zambet                          181             0
Tween 1                           0             0
sigla + stecher                1373             0
roata                           139             0
camion                          216             0
priza2                            0             0
priza                           301             0
4                                 0             0
3                                44             0
2                                 0             0
1                                49             0
fulger                          257             0
linie electrica                  38             0
borna                            70             0
dulap t                          91             0
fotoliu                          59             0
canapea                          78             0
dulap                           162             0
dulap b                          88             0
scaun                            50             0
masa                             59             0
perna                            35             0
pat                              66             0
paper                            40             0
paravan                          37             0
closet                          113             0
oglinda                          33             0
raft                             32             0
chiuveta                        166             0
clanta                           35             0
cadru usa                        63             0
stalp balcon                     36             0
fatada                           35             0
tigle                           904             0
balustrada 2                     39             0
balustrada 1                     39             0
suport balustrada                31             0
treapta                          35             0
linie scari 2                    33             0
linie scari 1                    34             0
cos 3                            36             0
cos 2                            34             0
cos 1                            37             0
tigla                            51             0
acoperis 2                       52             0
acoperis 1                       56             0
barna acoperis                   40             0
perete interior 4+5              42             0
perete interior 2+3              42             0
perete interior 1                69             0
planseu 2                        45             0
planseu 1                        45             0
perete 3                         45             0
perete 2                         45             0
perete 1                         43             0
planseu pamant                   45             0
linie pamant                     34             0
stecher                        1855             0
aspirator                       682             0
frig                            338             0
spalat                          438             0
tv                             6748             0
sistem                         1612             0
