Movie Report
------------

Frame #    Frame Bytes    Total Bytes    Page
  302            20         112398          4
  303            20         112418          5
  304            20         112438          6
  305            20         112458          7
  306            20         112478          8
  307            20         112498          9
  308            20         112518          10
  309            24         112542          11
  310            20         112562          12
  311            20         112582          13
  312            20         112602          14
  313            20         112622          15
  314            20         112642          16
  315            20         112662          17
  316            20         112682          18
  317            20         112702          19
  318            20         112722          20
  319            24         112746          21
  320            20         112766          22
  321            20         112786          23
  322            20         112806          24
  323            20         112826          25
  324            20         112846          26
  325            20         112866          27
  326            20         112886          28
  327            20         112906          29
  328            20         112926          30
  329            24         112950          31
  330            20         112970          32
  331            20         112990          33
  332            20         113010          34
  333            20         113030          35
  334            20         113050          36
  335            20         113070          37
  336            20         113090          38
  337            20         113110          39
  338            64         113174          40
  339            46         113220          41
  340            42         113262          42
  341            42         113304          43
  342            44         113348          44
  343            44         113392          45
  344            44         113436          46
  345            44         113480          47
  346            44         113524          48
  347            44         113568          49
  348          2296         115864          50

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
intro                         10017             0
menu                              0             0
about                             0           662
links                             0          1716
examples                        296           698
conclusion                        0          2223

Symbol                     Shape Bytes    Text Bytes
-----------------------    -----------    ----------
a simple                       1463             0
about                         12476             0
about symbol                    388             0
back                            154            76
conclusion                     3666             0
conclusion symbol               585             0
contact                        7079             0
contact symbol                  449             0
examples                      11169             0
examples graphic                547             0
FP design bottom              26103           141
FP design top                    45           138
go!                             576             0
green oval                      159             0
if this is the case            1834             0
links                          7508             0
links graphic                   298             0
may help you                   1800             0
new to flash                    889             0
would you like                 1514             0
flash8.0                         86           147

Font Name                  Bytes       Characters
-----------------------    --------    -----------
Tw Cen MT                    3839         '(),-./012349:;ABFGHIOPQSTWY_abcdefghijklmnoprstuvwxyz
Arial                        2040         ().19ACFPacdeghilmnoprstvy
Arial Rounded MT Bold        1841         :BCMSabcdeilmnprstuvy
ºÚÌå                          745        Ô´Õ¾×Ê
Arial Black                  1474        ./08:AFHLSaefhlnpsty
